2-digit level  MTWP Method of Travel to Work,"Car, as driver","Car, as passenger",Train,Bus,Taxi/ride-share service,Bicycle,Walked only,Total
40215151300,7,0,6,14,0,0,26,49
40215297600,11,4,0,4,0,0,15,38
40414760000,0,0,0,0,0,0,0,0
40000152000,0,0,0,0,0,0,4,9
40000153000,0,0,0,0,0,0,0,0
40000154000,0,0,0,0,0,0,0,0
40000155000,0,0,0,0,0,0,0,0
40001060000,0,0,0,4,0,0,0,0
40001380000,10,0,0,0,0,0,12,20
40002070000,5,0,0,0,0,0,4,13
40002370000,10,0,0,0,0,0,8,18
40215155800,58,7,5,19,3,0,74,168
40002892000,0,0,0,27,0,0,12,39
40214958700,22,0,0,12,0,0,31,68
40215241600,0,0,0,0,0,0,0,0
40214988800,54,8,4,18,0,0,60,149
40215001300,10,0,0,12,0,0,11,32
40215007900,24,0,0,10,0,0,25,62
40001740000,16,0,0,19,0,3,48,86
40001211000,0,0,0,0,0,0,3,3
40001212000,35,6,3,17,0,0,67,134
40002921000,3,0,0,0,0,0,4,10
40002922000,4,0,0,3,0,0,0,10
40002923000,0,0,0,0,0,0,5,4
40244510000,0,0,0,0,0,0,0,0
40002870000,6,0,0,0,0,0,5,18
40214955800,22,3,0,26,0,0,27,78
40244311000,9,0,0,7,0,0,12,39
40244312000,0,0,0,0,0,0,0,0
40244320000,5,0,0,0,0,0,4,12
40000230000,4,0,0,0,0,0,5,7
40000240000,11,3,0,0,0,0,7,27
40000510000,5,0,0,0,0,0,9,9
40000770000,11,0,0,6,0,6,10,29
40001640000,4,0,0,0,0,0,0,4
40001650000,9,0,0,3,0,0,8,29
40002560000,5,0,4,0,0,0,10,25
40002971000,0,0,0,0,0,3,3,6
40002972000,0,0,0,0,0,0,0,0
40002973000,0,0,0,0,0,0,0,0
40002974000,8,0,0,3,0,0,15,28
40003010000,12,0,0,7,0,0,20,38
40003150000,9,4,0,0,0,0,14,32
40243820000,7,0,0,0,0,0,5,14
40414830000,0,0,0,0,0,0,0,0
40000830000,0,0,0,0,0,0,0,0
40000862000,0,0,0,0,0,0,0,0
40001450000,7,0,0,0,0,0,0,4
40002020000,16,0,0,0,0,0,3,21
40002810000,0,0,0,0,0,0,0,0
40003480000,9,0,0,4,0,0,4,22
40003630000,7,0,0,0,0,0,3,6
40214962800,16,0,0,0,0,0,5,30
40214971500,0,0,0,0,0,0,0,0
40215031100,45,5,0,7,0,0,15,71
40415150000,0,0,0,0,0,0,0,0
40429490000,11,0,0,0,0,0,3,20
40001260000,21,0,0,0,0,0,9,30
40001751000,3,0,0,0,0,0,0,7
40001752000,4,0,0,0,0,0,9,11
40002031000,13,0,0,0,0,0,3,16
40002481000,4,0,0,4,0,0,0,7
40002482000,0,0,0,0,0,0,0,0
40214975400,14,0,0,0,0,5,3,23
40214975500,14,0,0,6,0,0,7,30
40000640000,30,5,0,4,0,4,0,35
40001291000,5,0,0,0,0,0,0,3
40001292000,6,0,0,0,0,0,0,14
40001780000,25,4,0,6,0,0,10,41
40002491000,3,0,0,5,0,0,0,9
40002492000,5,0,0,5,0,0,0,14
40003330000,9,0,0,0,0,0,0,9
40003351000,7,0,0,0,0,0,0,14
40003352000,4,0,0,0,0,0,0,3
40003353000,3,0,0,0,0,0,0,4
40003360000,17,0,0,7,0,0,6,22
40000300000,22,3,0,8,0,3,14,51
40000500000,5,0,0,0,0,0,6,8
40000840000,22,0,0,0,0,0,8,31
40001270000,20,3,0,4,0,0,13,42
40001280000,4,0,0,0,0,0,0,3
40001760000,6,0,0,0,0,0,6,12
40003320000,5,5,0,4,0,0,8,20
40003710000,3,0,0,0,0,0,0,3
40000651000,8,0,0,0,0,0,5,13
40000652000,10,0,0,4,0,0,5,23
40000921000,10,0,0,4,0,0,5,16
40000922000,3,0,0,0,0,0,0,3
40001300000,19,0,0,0,0,0,5,27
40001790000,18,7,0,0,0,0,3,31
40002040000,35,0,0,0,0,0,7,47
40002460000,13,0,0,3,0,0,11,33
40002470000,7,0,0,6,0,0,0,13
40002500000,26,0,0,4,0,0,0,35
40003300000,22,5,0,7,0,8,4,34
40003310000,10,0,0,3,0,0,3,22
40003340000,0,0,0,0,0,0,0,3
40003720000,10,0,0,0,0,0,5,11
40215006700,0,0,0,0,0,0,0,0
40215256100,4,3,0,5,0,0,4,14
40000350000,18,0,0,5,0,0,10,29
40001490000,16,0,0,4,0,0,9,32
40001920000,14,0,0,0,0,4,0,15
40002672000,0,0,0,0,0,0,0,3
40003530000,9,6,0,10,0,0,3,26
40215320900,13,0,0,3,0,0,5,23
40001981000,3,0,0,0,0,0,0,8
40001982000,12,0,0,9,0,0,0,14
40002720000,5,0,0,0,0,0,0,14
40003590000,17,4,0,0,0,0,8,29
40003600000,18,0,0,9,0,0,0,27
40003621000,10,0,0,0,0,0,0,8
40003623000,0,0,0,0,0,0,0,0
40000330000,36,0,0,0,0,0,0,41
40000411000,0,0,0,0,0,0,0,8
40000412000,0,0,0,3,0,0,0,7
40000880000,19,0,0,0,0,0,0,26
40001950000,15,0,0,0,0,0,0,21
40002150000,0,0,0,0,0,0,0,0
40002700000,16,0,0,0,0,0,0,23
40003550000,8,0,0,0,0,0,0,7
40003580000,12,0,0,3,0,0,7,24
